symbol,em_name,price_hkd,pct_chg,volume_shares,turnover_hkd,turnover_rate_pct,pe_dynamic,pb,pe_ttm,total_mv_hkd,float_mv_hkd,latest_high,latest_low,latest_open,prev_close,ts_code
01380,中国金石,0.67,6.35,2570000.0,1731400.0,0.5,-16.18,3.07,-16.18,346354932.0,346354932.0,0.69,0.65,0.65,0.63,01380.HK
01300,俊知集团,4.36,6.34,9332000.0,41799630.0,0.53,66.2,1.93,66.2,7708480000.0,7708480000.0,4.68,4.17,4.18,4.1,01300.HK
02369,酷派集团,0.84,6.33,68000.0,56360.0,0.02,-2.51,0.17,-2.51,278821366.0,278821366.0,0.85,0.8,0.81,0.79,02369.HK
01399,锐信控股,0.42,6.33,274000.0,114570.0,0.03,19.19,0.38,19.19,457800523.0,457800523.0,0.435,0.37,0.435,0.395,01399.HK
03393,威胜控股,21.96,6.29,4062000.0,88120270.0,0.39,19.6,3.17,19.6,22967517663.0,22967517663.0,22.46,20.82,21.6,20.66,03393.HK
06030,中信证券,28.4,6.29,10168857.0,279942048.0,0.39,11.16,1.27,11.16,420903529944.0,74410182682.0,28.44,26.4,26.52,26.72,06030.HK
00052,大快活集团,4.45,6.21,365500.0,1613385.0,0.28,17.35,0.89,17.35,576509871.0,576509871.0,4.5,4.28,4.28,4.19,00052.HK
02559,嘀嗒出行,1.38,6.15,1219000.0,1636360.0,0.12,9.78,0.87,9.78,1405309704.0,1405309704.0,1.4,1.3,1.3,1.3,02559.HK
01729,汇聚科技,20.22,6.14,19661000.0,405619344.0,0.88,57.58,14.18,57.58,45126235809.0,45126235809.0,21.12,19.53,19.53,19.05,01729.HK
02302,中核国际,4.18,6.09,591000.0,2482380.0,0.12,10.63,2.35,10.63,2044723527.0,2044723527.0,4.33,3.9,4.02,3.94,02302.HK
02576,太美医疗科技,5.94,6.07,211200.0,1244830.0,0.11,-70.54,2.7,-70.54,3346346520.0,1189018906.0,6.0,5.71,5.94,5.6,02576.HK
02505,EDA集团控股,0.7,6.06,46000.0,31800.0,0.01,-24.1,0.54,-24.1,324321025.0,324321025.0,0.7,0.66,0.66,0.66,02505.HK
01943,金石控股集团,0.7,6.06,6495000.0,4630550.0,0.63,-12.6,7.97,-12.6,721381500.0,721381500.0,0.73,0.66,0.66,0.66,01943.HK
02377,博奇环保,0.88,6.02,58000.0,48070.0,0.01,2.83,0.21,2.83,752279158.0,752279158.0,0.88,0.77,0.83,0.83,02377.HK
03750,宁德时代,751.0,6.0,2492094.0,1808088000.0,1.14,39.35,8.47,39.35,3474597004670.0,163943525300.0,755.0,697.0,713.5,708.5,03750.HK
01753,兑吧,0.16,5.96,111200.0,16834.0,0.01,-1.43,0.13,-1.43,172291712.0,172291712.0,0.16,0.15,0.15,0.151,01753.HK
06656,思格新能,366.4,5.9,120414.0,43425835.0,0.08,28.21,20.38,28.21,91172385552.0,51943920142.0,367.6,351.0,352.0,346.0,06656.HK
08432,太平洋酒吧,0.036,5.88,280000.0,10460.0,0.03,-3.75,2.33,-3.75,31653504.0,31653504.0,0.04,0.035,0.038,0.034,08432.HK
01543,中盈盛达融资担保,0.198,5.88,238000.0,47338.0,0.04,26.89,0.14,26.89,309036952.0,109763940.0,0.199,0.187,0.187,0.187,01543.HK
01143,中国储能科技发展,0.36,5.88,296000.0,105840.0,0.13,-1.82,0.16,-1.82,80744107.0,80744107.0,0.375,0.34,0.37,0.34,01143.HK
00833,华讯,1.09,5.83,1668000.0,1811840.0,0.35,10.93,0.74,10.93,515633416.0,515633416.0,1.13,1.04,1.09,1.03,00833.HK
01752,澳洲成峰高教,0.093,5.68,50000.0,4630.0,0.0,10.53,0.8,10.53,201966798.0,201966798.0,0.093,0.092,0.092,0.088,01752.HK
08603,亮晴控股,11.65,5.62,60000.0,699570.0,0.01,174.6,46.07,174.6,9540418000.0,9540418000.0,11.91,10.9,11.01,11.03,08603.HK
00585,意力国际,4.33,5.61,720000.0,3077920.0,0.09,-786.85,4.84,-786.85,3593560407.0,3593560407.0,4.38,3.92,3.92,4.1,00585.HK
08426,雅居投资控股,0.285,5.56,30000.0,8550.0,0.0,10.44,1.42,10.44,228000000.0,228000000.0,0.285,0.285,0.285,0.27,08426.HK
00997,普汇中金国际,0.019,5.56,1024000.0,19456.0,0.09,-0.09,0.07,-0.09,22216467.0,22216467.0,0.019,0.019,0.019,0.018,00997.HK
03310,云英谷科技,38.18,5.41,323456.0,12154948.0,0.08,-64.05,15.82,-64.05,16332600311.0,16332600311.0,38.24,35.58,36.26,36.22,03310.HK
06830,华众车载,0.236,5.36,14000.0,3160.0,0.0,10.48,0.27,10.48,417529737.0,417529737.0,0.236,0.224,0.224,0.224,06830.HK
01991,大洋集团,0.59,5.36,70000.0,41100.0,0.04,-1.38,131.12,-1.38,101483953.0,101483953.0,0.59,0.58,0.58,0.56,01991.HK
01206,同方泰德,0.237,5.33,4000.0,898.0,0.0,-0.34,0.08,-0.34,185379549.0,185379549.0,0.237,0.212,0.212,0.225,01206.HK
02107,第一服务控股,0.24,5.26,2782500.0,694320.0,0.22,-5.23,0.51,-5.23,303360000.0,303360000.0,0.28,0.235,0.238,0.228,02107.HK
01861,保宝龙科技,3.0,5.26,140000.0,417480.0,0.06,11.93,1.86,11.93,701751750.0,701751750.0,3.2,2.88,2.93,2.85,01861.HK
00653,卓悦控股,0.02,5.26,3948000.0,73872.0,0.21,-0.55,0.42,-0.55,37497561.0,37497561.0,0.021,0.018,0.019,0.019,00653.HK
00582,神话世界,0.04,5.26,96000.0,3828.0,0.0,-0.43,0.02,-0.43,146059255.0,146059255.0,0.04,0.039,0.039,0.038,00582.HK
08159,新华联合投资,0.041,5.13,440000.0,18040.0,0.05,-0.77,0.55,-0.77,32996800.0,32996800.0,0.041,0.041,0.041,0.039,08159.HK
00397,嬴集团,0.041,5.13,2810000.0,112560.0,0.08,-2.25,0.09,-2.25,140336403.0,140336403.0,0.041,0.04,0.04,0.039,00397.HK
01792,CMON,1.03,5.1,4000.0,4040.0,0.01,-0.41,-1.94,-0.41,63777600.0,63777600.0,1.03,1.01,1.01,0.98,01792.HK
09903,天数智芯,662.0,5.08,1562513.0,1015241328.0,0.64,-151.51,58.16,-151.51,168358341232.0,162257500830.0,683.0,614.0,640.0,630.0,09903.HK
01779,天辰生物-B,150.0,5.04,210450.0,31165390.0,0.29,-57.25,57.85,-57.25,11128972500.0,10939540200.0,150.3,141.9,142.8,142.8,01779.HK
02197,三叶草生物-B,1.67,5.03,1399000.0,2254040.0,0.11,-9.55,-1.09,-9.55,2168349804.0,2168349804.0,1.68,1.57,1.62,1.59,02197.HK
00413,南华集团控股,0.021,5.0,3768000.0,78128.0,0.03,-0.19,0.06,-0.19,277647346.0,277647346.0,0.021,0.02,0.02,0.02,00413.HK
00387,力丰(集团),0.84,5.0,40000.0,33120.0,0.02,12.01,0.45,12.01,193263892.0,193263892.0,0.84,0.82,0.82,0.8,00387.HK
09311,南方两倍做空Coinbase-U,1.474,4.99,0.0,,,,,,,,1.488,1.404,1.404,1.404,09311.HK
00974,中国顺客隆,0.86,4.88,39000.0,33540.0,0.01,-13.29,3.53,-13.29,249793020.0,249793020.0,0.86,0.86,0.86,0.82,00974.HK
02628,中国人寿,29.36,4.78,30628578.0,874766976.0,0.41,5.14,1.22,5.14,829851738800.0,218472898000.0,29.52,27.48,28.02,28.02,02628.HK
03678,弘业期货,2.49,4.62,6723000.0,16409660.0,2.69,145.18,1.18,145.18,2509366667.0,621753000.0,2.54,2.33,2.42,2.38,03678.HK
02399,中国安储能源,0.34,4.62,6395000.0,2109925.0,0.18,-3.72,2.92,-3.72,1214273960.0,1214273960.0,0.34,0.325,0.33,0.325,02399.HK
09885,药师帮,3.2,4.58,1492000.0,4627232.0,0.22,13.0,0.81,13.0,2201852634.0,2201852634.0,3.26,3.01,3.07,3.06,09885.HK
02657,林清轩,29.9,4.55,52100.0,1553962.0,0.05,10.62,2.06,10.62,4238601127.0,3234838452.0,31.1,28.16,28.36,28.6,02657.HK
00580,赛晶科技,3.0,4.53,10612000.0,31178800.0,0.66,31.42,2.02,31.42,4796766000.0,4796766000.0,3.02,2.81,2.91,2.87,00580.HK
02687,卓越睿新,136.5,4.52,108800.0,15062430.0,0.18,63.12,8.02,63.12,9100004550.0,8456557200.0,142.6,130.8,130.8,130.6,02687.HK
