ts_code,trade_date,close,vol,amount
00351.HK,20260624,0.36,1630000.0,572950.0
00355.HK,20260624,0.063,897600.0,57100.8
00356.HK,20260624,0.035,450000.0,15750.0
00357.HK,20260624,4.33,436000.0,1917530.0
00358.HK,20260624,34.82,18634155.0,649632293.362
00360.HK,20260624,0.04,1876000.0,75276.0
00361.HK,20260624,0.039,5980000.0,218660.0
00363.HK,20260624,12.48,905000.0,11271310.0
00365.HK,20260624,0.52,2520000.0,1284670.0
00366.HK,20260624,0.8,374000.0,299120.0
00370.HK,20260624,0.355,13026000.0,4526160.0
00371.HK,20260624,2.32,10810000.0,24874460.0
00373.HK,20260624,2.24,522740.0,1179155.4
00375.HK,20260624,1.13,70000.0,75410.0
00376.HK,20260624,1.65,4055000.0,6812630.0
00379.HK,20260624,0.068,2388000.0,153681.0
00381.HK,20260624,0.102,4580000.0,465100.0
00384.HK,20260624,5.74,15259199.0,87803411.48
00385.HK,20260624,0.27,136000.0,38730.0
00386.HK,20260624,4.15,144079852.0,596644914.17
00387.HK,20260624,0.87,64000.0,56560.0
00388.HK,20260624,371.2,6243182.0,2311508315.3
00391.HK,20260624,0.1,2360000.0,241520.0
00392.HK,20260624,27.54,1028380.0,28328591.2
00393.HK,20260624,1.32,100000.0,132080.0
00397.HK,20260624,0.04,287750.0,11492.5
00398.HK,20260624,3.3,602000.0,1982160.0
00408.HK,20260624,2.14,74000.0,160220.0
00412.HK,20260624,0.58,14054000.0,8262730.0
00413.HK,20260624,0.023,3920000.0,88136.0
00417.HK,20260624,0.71,506000.0,365280.0
00418.HK,20260624,0.65,38000.0,24860.0
00419.HK,20260624,0.415,746000.0,307335.0
00420.HK,20260624,0.66,154000.0,101080.0
00428.HK,20260624,0.228,396200.0,89331.0
00432.HK,20260624,0.234,354176.0,81536.449
00433.HK,20260624,0.07,24179000.0,1654241.0
00438.HK,20260624,1.3,19600.0,24854.0
00439.HK,20260624,0.57,66000.0,37040.0
00440.HK,20260624,38.38,168800.0,6447376.0
00451.HK,20260624,0.88,7076122.0,6116780.9
00455.HK,20260624,0.085,246000.0,20912.0
00456.HK,20260624,0.6,2000.0,1200.0
00458.HK,20260624,2.0,21000.0,41760.0
00467.HK,20260624,0.36,24178760.0,8673569.4
00472.HK,20260624,0.244,60000.0,14710.0
00476.HK,20260624,0.47,103800.0,47994.0
00480.HK,20260624,1.04,404248.0,420018.48
00485.HK,20260624,0.395,20000.0,7900.0
00488.HK,20260624,0.72,21600.0,15453.0
00491.HK,20260624,0.023,80000.0,1840.0
00493.HK,20260624,0.011,48330950.0,501633.975
00497.HK,20260624,0.195,20000.0,3900.0
00499.HK,20260624,0.183,10000.0,1824.0
00500.HK,20260624,0.055,142412.0,7763.892
00506.HK,20260624,3.14,2906000.0,9160746.0
00508.HK,20260624,0.39,155000.0,60500.0
00511.HK,20260624,2.32,163800.0,379304.0
00512.HK,20260624,4.73,5247496.0,24885377.3
00513.HK,20260624,0.108,360000.0,42490.0
00517.HK,20260624,5.3,2738000.0,14478170.0
00521.HK,20260624,0.248,2450000.0,600470.0
00522.HK,20260624,200.8,3932363.0,784364032.0
00524.HK,20260624,1.77,200000.0,344000.0
00525.HK,20260624,2.07,7350000.0,15088918.0
00526.HK,20260624,0.14,3714000.0,494604.0
00532.HK,20260624,0.51,1250000.0,642720.0
00533.HK,20260624,0.94,914000.0,824040.0
00535.HK,20260624,0.105,2252000.0,238904.0
00547.HK,20260624,0.217,499000.0,106866.0
