rank,ts_code,name,strategy_tag,price,dividend_yield_ttm,hist_yield_max,hist_yield_max_date,hist_yield_max_ttm_cash,hist_yield_max_close,hist_yield_obs,yield_pctile_all,yield_pctile_1y,yield_pctile_2y,yield_pctile_5y,yield_pctile_10y,yield_to_hist_max,current_ttm_cash_to_peak,yield_position_label,yield_valuation_hint,list_date,last_div_date
69,159515.SZ,鹏扬中证国有企业红利ETF,红利/股息,1.056,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20230906,
70,159266.SZ,永赢中证港股通央企红利ETF,央企红利,0.868,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250801,
71,560250.SH,富国中证全指红利质量ETF,红利质量,0.914,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20260522,
72,561680.SH,平安中证A500红利低波动ETF,红利低波,0.912,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250905,
73,159143.SZ,平安恒生港股通中国央企红利ETF,央企红利,0.872,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20260112,
74,563890.SH,创金合信中证国有企业红利ETF,红利/股息,0.944,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251017,
75,563590.SH,国寿安保中证A500红利低波动ETF,红利低波,0.903,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251105,
76,159188.SZ,景顺长城标普中国A股红利100ETF,A股红利,0.873,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20260410,
77,513830.SH,嘉实中证港股通高股息投资ETF,高股息 / 港股通高股息,1.063,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250307,
78,563690.SH,永赢中证红利低波动ETF,中证红利 / 红利低波,0.921,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20251010,
79,159228.SZ,长城中证红利低波动100ETF,中证红利 / 红利低波,0.938,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20250618,
80,520610.SH,银华标普港股通低波红利ETF,红利/股息,0.858,0.0,,,,,0,,,,,,,,暂无TTM分红,暂无当前TTM分红,20260209,
