ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source,strict_net_cash,liquidity_bucket
00560.HK,20251231,870297631.0,870297631.0,2204531505.34,658609056.38,-1334233874.3400002,0.3947766810734582,-1.7761796824529847,2304255122.32,-0.038226839827050996,46963827.12,-0.17458594934041316,4,253422757.94,3,5.39612662512501,4.182725594276483,,50633609.98,,50633609.98,,0.06740526606717442,40.835841092666314,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,珠江船务,珠江船务企业(股份)有限公司,主板,19970523,0.67,751181813.1470587,751181813.1470587,175060.0,0.2364705882352941,14.444411764705881,14.444411764705881,67876.25,55450.0,2026/06/25 14:21:33,tencent,cache,False,极低
02356.HK,20251231,1891184616.5,0.0,200851081709.4,,-198959897092.9,0.009415854773619031,-11.677615647730418,7149149782.82,0.05445826482887006,2236204721.08,0.15880115103694847,4,2017498127.06,2,0.9021974187075442,-1.0905504209928532e-05,,888791963.72,,888791963.72,,0.05216614551357294,40.212931410396344,非严格净现金;近年盈利稳定;股东回报率较高,大新银行集团,大新银行集团有限公司,主板,20040630,12.12,17037715839.84,17037715839.84,11116584.0,0.4848,6.886138775510204,6.886138775510204,19349689.2785,16737396.525,2026/06/25 15:08:20,tencent,cache,False,中
06058.HK,20251231,15813163735.43,1991341154.0600002,18220190062.74,5255577064.38,-2407026327.3100014,0.8678923590247101,-1.0941028760500007,823055583.22,0.5285273723839841,150889200.96,,3,3308886012.07,3,21.929243385331265,1.0645859115032588,,36128800.0,,36128800.0,,0.01642218181818182,37.77368606986022,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,兴证国际,兴证国际金融集团有限公司,主板,20190103,0.55,2200000000.0,2200000000.0,76800.0,0.6433962264150943,13.168867924528302,13.168867924528302,741750.775,554660.0,2026/06/25 14:30:17,tencent,cache,False,极低
00873.HK,20251231,3105853000.0,2991273000.0,4979469000.0,51521000.0,-1873616000.0,0.623731767383229,-1.7450815718309878,7880037000.0,-0.03010449431946205,103300000.0,,2,1021127000.0,3,9.885062923523718,0.41149080348499517,,14993000.0,,14993000.0,,0.01396444522594918,35.478615738862935,现金类资产>有息负债;经营现金流稳定,世茂服务,世茂服务控股有限公司,主板,20201030,0.435,1073655255.0,1073655255.0,986210.0,0.12303030303030305,9.385454545454545,9.385454545454545,634246.487,547332.39,2026/06/25 15:07:45,tencent,cache,False,低
00376.HK,20251231,6467602551.32,6467602551.32,83889226515.1,1482253567.94,-77421623963.78,0.07709693866537004,-11.489574109528746,8798662533.58,2.41834092489162,589396211.0,,3,1458704816.1,3,2.4749137997088346,0.0,,88870525.46,,88870525.46,,0.013188621423171426,35.344331322928085,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,云锋金融,云锋金融集团有限公司,主板,19870717,1.66,6738424177.060773,6738424177.060773,10967160.0,0.5411049723756906,10.326850828729281,10.326850828729281,9501581.185,8971937.45,2026/06/25 15:11:47,tencent,cache,False,中
02722.HK,20251231,2684848724.06,2684848724.06,10645457973.37,1408534603.44,-7960609249.310001,0.25220603291809957,-1.0337248111087358,9982629238.92,0.11828912373255274,763917477.33,0.3502780370760352,4,459456823.49,4,0.6014482416292749,1.2314544912468601,,241364767.6,,241364767.6,,0.031342418774949934,34.982127004603356,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,重庆机电,重庆机电股份有限公司,主板,20080613,2.09,7700897921.538461,2299391812.384615,32658746.0,0.7869230769230768,9.104615384615384,9.104615384615384,48861957.1225,52361423.0,2026/06/25 15:11:38,tencent,cache,False,中
00028.HK,20251231,7733773379.34,7619712048.08,23194639019.68,6767857266.26,-15460865640.34,0.3334293485998256,-2.954003692153636,9481868980.22,0.27785754955486497,1597286763.92,0.05367353954724852,3,119734456.08,4,0.07496115211407141,-0.27728173369010806,,142259859.66,,142259859.66,,0.027180635318661026,34.829078878252716,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,天安,天安中国投资有限公司,主板,19870318,3.57,5233868082.632,5233868082.632,157060.0,0.18087999999999999,2.96072,2.96072,7852177.7526315795,610210.0,2026/06/25 13:44:07,tencent,cache,False,极低
06060.HK,20251231,3065369000.0,3065369000.0,21260372000.0,71155000.0,-18195003000.0,0.1441822842986943,-1.1550182371398325,36430420000.0,1.4683874975595494,1101605000.0,,3,3535832000.0,3,3.2097094693651536,0.0,,,,0.0,,0.0,32.5952811173765,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,众安在线,众安在线财产保险股份有限公司,主板,20170928,9.35,15753000615.000002,15285500615.000002,73283590.43,0.5593220338983051,12.920338983050847,12.920338983050847,129324839.0385,106218983.55,2026/06/25 15:11:55,tencent,cache,False,高
09938.HK,20250930,47544346.48,47544346.48,113662358.08,766903.2,-66118011.6,0.4182945636807608,-0.330590058,200509580.58,0.29555133374620235,5189378.32,0.10504705623079391,3,1186874.0,2,0.22871217452498238,0.023926812104152005,,,,0.0,,0.0,30.883377993819607,现金类资产>有息负债;近年盈利稳定,华和控股,华和控股集团有限公司,主板,20200117,0.2,200000000.0,200000000.0,53555.0,0.9391304347826087,9.4,9.4,61414.09090909091,46505.0,2026/06/25 15:04:04,tencent,cache,False,极低
01200.HK,20251231,902727745.1,902727745.1,2976276995.7,270372584.46000004,-2073549250.6,0.30330770503021837,-1.2152936757520072,4966739941.72,0.21302633117935144,381774836.04,,2,487807444.72,4,1.2777359811868023,-0.0013414339858333214,0.08,,141805.54,141805.54,0.033613445378151266,8.311130102105438e-05,29.706359930344664,现金类资产>有息负债;经营现金流稳定,美联集团,美联集团有限公司,主板,19950608,2.38,1706212491.6571426,1706212491.6571426,2297800.0,1.2142857142857142,4.041142857142857,4.041142857142857,5333191.5855,4718367.0,2026/06/25 15:11:07,tencent,cache,False,中低
