ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source,strict_net_cash
00291.HK,20251231,9960000000.0,6918000000.0,32669000000.0,2804000000.0,-22709000000.0,0.3048761823135082,-0.32347165131673383,37985000000.0,0.025095415399798204,3371000000.0,-0.08105473293801269,4,7127000000.0,4,2.114209433402551,-0.2468110353010976,,2764000000.0,,2764000000.0,,0.039370982616559615,66.50242498678304,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,华润啤酒,华润啤酒(控股)有限公司,主板,19731115,21.64,70203988224.50139,70203988224.50139,127900931.08,1.9690993500464251,18.80690807799443,18.80690807799443,280408398.5095,280390481.51,补充宽筛,cache,False
01766.HK,20251231,67834624000.0,67834624000.0,334695934000.0,17252159000.0,-266861310000.0,0.20267537519592335,-2.0126994620585617,273063098000.0,0.06993950678924299,13181015000.0,0.04191303304732763,4,24185716000.0,4,1.8348902569339312,0.3860226242061025,,12271120000.0,,12271120000.0,,0.09255023376320852,66.29833810843395,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中国中车,中国中车股份有限公司,主板,20080821,4.62,132588752086.7412,20194325104.800003,114624289.8,0.6703529411764707,8.778,8.778,144571756.429,150514252.45,补充宽筛,cache,False
02481.HK,20251231,856483000.0,856483000.0,4494805000.0,693063000.0,-3638322000.0,0.19054953440694314,-4.883968363062317,1506290000.0,0.014239849751134681,170214000.0,0.20853584414050275,4,387359000.0,4,2.275717626047211,0.12218736414160997,,49462000.0,,49462000.0,,0.06639622418625629,66.0532273883126,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,双良睿能,江苏双良睿能能源股份有限公司,主板,20230710,2.47,744952000.0000001,744952000.0000001,12350.0,0.5179032258064517,3.953991935483872,3.953991935483872,14888.666666666666,4980.0,补充宽筛,cache,False
02099.HK,20251231,4957314236.799999,4957314236.799999,7165924859.2,3848155539.2,-2208610622.4000006,0.6917898713988792,-0.04798861584230037,9208606600.0,0.0616593022805918,3282161419.2,0.2837680542614207,3,4990335539.2,4,1.5204418375060766,0.0,,231613017.6,,231613017.6,,0.005032479701471506,66.0330395274215,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,中国黄金国际,中国黄金国际资源有限公司,主板,20101201,116.1,46023636723.716125,46023636723.716125,406612906.6,2.496774193548387,9.579290322580643,9.579290322580643,296657455.13600004,250577454.2,补充宽筛,cache,False
00762.HK,20251231,68213000000.0,46815000000.0,298751000000.0,34087000000.0,-230538000000.0,0.22832726919742527,-1.1772474055544184,392223000000.0,0.03385049329985512,20816000000.0,0.075236608733102,4,90175000000.0,4,4.332004227517294,0.10626441199077633,,13472000000.0,,13472000000.0,,0.06879506652972232,64.97797003524308,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中国联通,中国联合网络通信(香港)股份有限公司,主板,20000622,6.4,195827995808.09384,195827995808.09384,211196423.98,0.4785923753665689,8.839882697947214,8.839882697947214,217497289.435,201557804.745,补充宽筛,cache,False
03808.HK,20251231,44713640000.0,30484627000.0,99914676000.0,5478390000.0,-55201036000.0,0.4475182404634931,-0.5142278731565505,109540885000.0,0.22626317478924585,7019303000.0,0.6129785787569237,4,7623014000.0,4,1.0860072574157291,0.15547270149187178,,3688034000.0,,3688034000.0,,0.03435605592527368,64.95688477684355,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,中国重汽,中国重汽(香港)有限公司,主板,20071128,38.88,107347421020.08676,107347421020.08676,319003044.98,2.1530226119058606,13.815228426395938,13.815228426395938,531638582.3075,499424327.28,补充宽筛,cache,False
81024.HK,20251231,62142000000.0,19810000000.0,84920000000.0,23005000000.0,-22778000000.0,0.7317710786622704,-0.14438474089154363,142776000000.0,0.14875539388617476,18617000000.0,,3,26716000000.0,4,1.4350324971799968,0.11553956061664071,,1800000000.0,2927000000.0,4727000000.0,,0.029963415145944625,64.94453335547985,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,快手-WR,快手科技,主板,20230619,36.46,157759053064.40918,133508912840.01134,1752510.0,1.929812900049237,8.993825701624816,8.993825701624816,1095247.1,883371.0,补充宽筛,cache,False
00966.HK,20251231,113124167349.18,113124167349.18,1645480502101.12,,-1532356334751.9402,0.0687484094796209,-22.546956468113265,158927085803.18,0.7680758374904144,24440481978.38,0.8534917515275902,4,98296997247.96,4,4.021892748879229,0.0,,3487005454.36,,3487005454.36,,0.0513074918675856,64.62971893090885,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,中国太平,中国太平保险控股有限公司,主板,20000629,18.91,67962890553.27954,67962890553.27954,153828270.68,0.7135849056603774,2.5069364448858,2.5069364448858,216085602.8,207461898.38,补充宽筛,cache,False
01339.HK,20251231,153422000000.0,153422000000.0,1607494000000.0,,-1454072000000.0,0.09544172482136792,-6.737645559398685,650409000000.0,1.0665577300192806,46207000000.0,0.22103274561931596,4,118689000000.0,4,2.56863678663406,0.0,,13301000000.0,,13301000000.0,,0.06163203994407561,64.62821794239363,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,中国人民保险集团,中国人民保险集团股份有限公司,主板,20121207,4.88,215813074045.0781,42584021920.0,227430874.26,0.60046875,4.575,4.575,253580052.8215,255243613.6,补充宽筛,cache,False
03393.HK,20251231,3015242000.0,3015242000.0,9267423000.0,2508974000.0,-6252181000.0,0.32535927193568265,-0.2977049875431702,10073525000.0,0.19820370091275197,1058246000.0,0.4840137958776545,4,1407697000.0,4,1.3302171706767614,0.22534457961570373,,497644000.0,,497644000.0,,0.02369590720757019,64.13956166644826,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,威胜控股,威胜控股有限公司,主板,20051219,20.08,21001263874.0,21001263874.0,99948680.68,2.8986156648451726,17.922040072859744,17.922040072859744,166778505.0885,153742009.145,补充宽筛,cache,False
