ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,quote_time,quote_source,financial_source
00882.HK,20251231,5528541878.5,4718384247.98,4362172344.38,1802945441.8200002,1166369534.12,1.2673827263204516,0.5152844553742878,2886870860.78,-0.044537254051221886,386525773.24,0.06505507831147495,4,42255341.26,2,0.10932088927938832,1.4112496553271237,,196510865.74,,196510865.74,,0.08681553441325385,72.34277350027202,现金类资产>总负债;近年盈利稳定;一次性/其他收益占比较高;股东回报率较高,天津发展,天津发展控股有限公司,主板,19971210,2.11,2263544964.252381,2263544964.252381,0.0,1344658.34,0.1708095238095238,5.285047619047619,5.285047619047619,1344658.34,913100.0,2026/06/30 09:20:36,tencent,cache
00546.HK,20251231,13465776000.0,13465776000.0,24254618000.0,17647350000.0,-10788842000.0,0.5551840066085559,-0.8945723732038138,27879194000.0,0.004884327922078269,2465228000.0,-0.13890809691735784,4,2911344000.0,4,1.1809633835085436,0.28667977160733205,,1341937000.0,,1341937000.0,,0.1112686390976906,72.29013374743337,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,阜丰集团,阜丰集团有限公司,主板,20070208,4.81,12060334438.186296,12060334438.186296,2283.63,32297406.814,0.5561884368308352,4.418608137044967,4.418608137044967,32297406.814,23948119.0,2026/06/30 09:30:23,tencent,cache
00752.HK,20251031,2059759696.8,2037104383.62,3371745358.65,779438926.6500001,-1311985661.8500001,0.6108882723055632,-0.47118587398124817,6575379426.24,0.1656228213756774,397775263.56,0.3881525613010408,4,302911043.07,4,0.7615130220994982,0.29549019787720054,,171180167.34,,171180167.34,,0.06147755962715379,72.20955583423671,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,PICO FAR EAST,笔克远东集团有限公司,主板,19920928,2.18,2784433350.61062,2784433350.61062,17440.0,1338783.9125,1.0803539823008852,6.38566371681416,6.38566371681416,1338783.9125,1001415.58,2026/06/30 09:30:05,tencent,cache
01250.HK,20251231,5044083000.0,4616294000.0,28797121000.0,25626617000.0,-23753038000.0,0.1751592806794818,-9.525167238441501,4408662000.0,-0.02324275458604419,228773000.0,-0.0027552831420604162,4,3600244000.0,4,15.737189266215855,0.5772884037889087,,322480000.0,,322480000.0,,0.1293171817033516,72.17030054392256,非严格净现金;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,山高新能源,山高新能源集团有限公司,主板,20130705,1.11,2493713486.114754,2493713486.114754,0.0,104746.12105263158,0.1637704918032786,9.844426229508198,9.844426229508198,104746.12105263158,68300.0,2026/06/30 09:20:36,tencent,cache
03813.HK,20251231,1514649000.0,1294068000.0,3159058000.0,1142220000.0,-1644409000.0,0.4794622320957703,-0.8838864660058643,17132127000.0,-0.027692066271774562,210771000.0,0.3321110707922623,4,550975000.0,4,2.614093020387055,2.039417187373975,,203780000.0,,203780000.0,,0.10953381065335632,71.99050133348217,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,宝胜国际,宝胜国际(控股)有限公司,主板,20080606,0.35,1860430115.4545453,1860430115.4545453,0.0,235319.55,0.1909090909090909,6.3909090909090915,6.3909090909090915,235319.55,169307.5,2026/06/30 09:20:36,tencent,cache
00732.HK,20251231,2096680714.8,2096680714.8,14648447250.16,6992760852.7,-12551766535.36,0.14313330819258666,-4.530996324859276,14902673873.9,-0.0471987198483268,247643053.16,-0.04493544096386426,4,5292871006.44,4,21.372983973914756,0.4885475858748696,,279523106.28,165480742.64,445003848.91999996,,0.16063960386169834,71.81511969769085,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,信利国际,信利国际有限公司,主板,19910729,0.94,2770200113.934066,2770200113.934066,75200.0,2454074.7,0.29956043956043943,10.102417582417582,10.102417582417582,2454074.7,1832495.0,2026/06/30 09:30:25,tencent,cache
01627.HK,20250930,1500809476.84,1500809476.84,3266433367.58,10897329.28,-1765623890.74,0.4594642865627789,-1.6977152795576924,3753965600.56,0.2767555906033843,98817303.28,0.2993779246426542,4,83863603.86,3,0.8486732695221553,0.0757234191950922,,109557600.0,,109557600.0,,0.10534384615384615,70.7417746229731,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,安保工程控股,安保工程控股有限公司,主板,20170220,0.52,1040000000.0,1040000000.0,0.0,83467.37647058823,0.597037037037037,4.39111111111111,4.39111111111111,83467.37647058823,76280.0,2026/06/30 09:20:36,tencent,cache
01969.HK,20260228,451093000.0,451093000.0,2685219000.0,1239067000.0,-2234126000.0,0.1679911396426139,-2.04590293040293,1790614000.0,0.11002388732987867,835546000.0,0.14800097955154357,4,1199166000.0,4,1.435188487527916,0.16882254238545813,,113840000.0,,113840000.0,,0.10424908424908423,70.71422277092101,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,中国春来,中国春来教育集团有限公司,主板,20180913,0.91,1092000000.0000002,1092000000.0000002,0.0,359895.6,0.1949999999999999,1.132857142857143,1.132857142857143,359895.6,301450.0,2026/06/30 09:20:36,tencent,cache
01945.HK,20251231,572497000.0,247228000.0,501003000.0,55098000.0,71494000.0,1.1427017403089403,0.1731209305902607,232002000.0,0.016891012556972784,70435000.0,0.5125858341751424,4,55269000.0,4,0.7846809114786683,0.7327039114076809,,,2228000.0,2228000.0,,0.0053950462046479545,70.44208043133666,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,清科控股,清科控股有限公司,主板,20201230,1.4,412971439.99999994,412971439.99999994,1680.0,261029.3475,0.5964497041420118,5.293491124260354,5.293491124260354,261029.3475,210444.0,2026/06/30 09:32:00,tencent,cache
00746.HK,20251231,294146238.08,294146238.08,1255102770.14,727467839.52,-960956532.0600002,0.23436028114828358,-0.26472631737190094,3391381552.96,-0.13504862660753858,504229790.76,-0.21271443975278648,4,905221535.52,4,1.795255956923143,0.08723385961329708,,257078992.5,,257078992.5,,0.07082065909090911,70.29001425496128,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,理文化工,理文化工有限公司,主板,20020116,4.4,3629999999.999999,3629999999.999999,0.0,916424.092,0.569642857142857,6.501785714285714,6.501785714285714,916424.092,719901.96,2026/06/30 09:20:36,tencent,cache
