ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,pb,pe_ttm,pe_dynamic,ts_avg_amount_hkd,ts_median_amount_hkd,source_batch,financial_source
02377.HK,20251231,672991000.0,440792000.0,1849544000.0,308219000.0,-1176553000.0,0.36386860761355233,-1.5639845760554754,2229805000.0,0.05475647536396333,239885000.0,0.1649101200876426,4,318208000.0,4,1.326502282343623,0.18645601017154054,,35838000.0,173374000.0,209212000.0,,0.27810420875703695,78.22238347548728,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,博奇环保,中国博奇环保(控股)有限公司,主板,20180316,0.88,752279158.0,752279158.0,48070.0,0.21,2.83,2.83,82215.6705263158,29460.0,补充宽筛,new
06669.HK,20251231,947965000.0,620575000.0,392012000.0,244385000.0,555953000.0,2.4182040345703704,0.2168706538350528,644631000.0,0.17680660123459413,119184000.0,0.1932916562958693,4,150273000.0,2,1.260848771647201,0.44334810041616324,,,,0.0,,0.0,78.10237655546189,现金类资产>总负债;近年盈利稳定,先瑞达医疗-B,先瑞达医疗科技控股有限公司,主板,20210824,8.18,2563523419.0,2563523419.0,1098210.0,1.57,19.43,19.43,3180827.875,3043900.56,原始初筛,cache
00240.HK,20251231,2402815391.94,2337023943.92,4985983947.04,109083685.84,-2583168555.1,0.481913984774553,-1.377516683064889,12503007106.88,0.04057542584634244,408916597.04,0.017681126571830186,4,748895830.8,4,1.8314146117349777,0.08372502937720329,,196295899.38,,196295899.38,,0.10467798381925915,78.07808594450967,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,利基控股,利基控股有限公司,主板,19730315,1.51,1875235768.0,1875235768.0,122400.0,0.64,4.14,4.14,401268.0635000001,227750.0,原始初筛,cache
03306.HK,20251231,1568061000.0,1477066000.0,2572118000.0,491276000.0,-1004057000.0,0.6096380492652359,-0.10679395925757756,3375856000.0,0.1267374858025252,674331000.0,0.21960900801781014,4,996043000.0,4,1.4770832128435443,0.12226933064029386,,440941000.0,,440941000.0,,0.046899563659230016,78.07626453184304,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,江南布衣,江南布衣有限公司,主板,20161031,17.63,9401814550.0,9401814550.0,11052547.0,3.14,8.72,8.72,20876408.5475,19660497.5,补充宽筛,new
02669.HK,20251231,6270725000.0,6270725000.0,7028295000.0,145936000.0,-757570000.0,0.8922114111601747,-0.06706044116533,14959871000.0,0.11131229977731416,1366779000.0,0.07714845699094997,4,1153458000.0,4,0.8439242920764806,0.09517778660632041,,598106000.0,,598106000.0,,0.05294461531426913,78.0224529736736,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中海物业,中海物业集团有限公司,主板,20151023,3.44,11296823982.0,11296823982.0,23174597.0,1.74,7.47,7.47,38535864.038,34140540.4,原始初筛,cache
03600.HK,20251231,692801352.7,692801352.7,1124252385.52,590803427.76,-431451032.81999993,0.6162329398834755,-0.08026417310752014,3374898691.18,0.10109811038059435,539197049.84,0.39898470099063044,4,689248988.44,4,1.2782877588898642,0.08998914521954128,,170995803.96,27581629.14,198577433.10000002,,0.03694197545758329,78.01668513375425,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,现代牙科,现代牙科集团有限公司,主板,20151215,5.75,5375387500.0,5375387500.0,1874840.0,1.63,9.0,9.0,3551298.319,3532485.0,原始初筛,cache
01234.HK,20251231,1696326000.0,1696326000.0,2700616000.0,962117000.0,-1004290000.0,0.6281255832002772,-0.23691132608776896,4069716000.0,0.0965972386797338,502438000.0,0.03891921362648998,4,538315000.0,4,1.0714058251963425,0.0745823365270939,,307543000.0,,307543000.0,,0.0725491839598231,77.73507730392303,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,中国利郎,中国利郎有限公司,主板,20090925,3.54,4239096613.0,4239096613.0,965600.0,0.91,7.62,7.62,1055451.09,848225.5,原始初筛,cache
00179.HK,20260331,6480066535.8,6240911313.6,9734087370.8,2653679852.2,-3254020834.999999,0.6657086883397713,-0.1483145689210521,13027813456.5,0.012105172035278944,946900246.5,0.3363602330635924,4,2060602105.5,4,2.176155421985097,0.0,,370509192.0,,370509192.0,,0.016887387598047553,77.40314422806514,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,德昌电机控股,德昌电机控股有限公司,主板,19840711,23.48,21939994558.0,21939994558.0,208911927.0,0.99,13.85,13.85,265988089.84,245558735.53,补充宽筛,new
01898.HK,20251231,142283123000.0,141312472000.0,169638408000.0,46755236000.0,-27355285000.0,0.838743564488061,-0.18654618489983302,148056698000.0,-0.12443302877424955,14497092000.0,-0.0977518557705831,4,29791934000.0,4,2.0550282773952184,0.024218167340043093,,5621673000.0,,5621673000.0,,0.03833634527676824,77.36789366192608,现金类资产>有息负债;近年盈利稳定;经营现金流稳定,中煤能源,中国中煤能源股份有限公司,主板,20061219,11.06,146640817204.0,45419692780.0,88955264.0,0.79,9.11,9.11,283063581.096,262953937.015,补充宽筛,new
00551.HK,20251231,5693953563.200001,5162857435.200001,16994063948.8,6853115144.0,-11300110385.599998,0.3350554393789996,-0.5263462851362819,56450780995.2,-0.033229407435860114,2678549161.6,0.09077280769312446,4,4155707712.0,4,1.551477109913352,0.3154780335990679,,2064984123.2,26041704.0,2091025827.2,,0.09739760398033516,77.27027517072251,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,裕元集团,裕元工业(集团)有限公司,主板,19920702,13.38,21468965783.0,21468965783.0,29318054.0,0.6,8.1,8.1,47821368.8045,42024048.41,原始初筛,cache
00833.HK,20251231,395381845.34,395381845.34,497363512.32,219661297.56,-101981666.98000002,0.7949554712924221,-0.19777939872694367,1030732083.5,-0.1266313190028875,42605790.62,-0.24776397090017288,4,96381702.98,4,2.262173793220411,0.0,,25636996.48,,25636996.48,,0.04971942408014922,77.10527590967381,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,华讯,华讯股份有限公司,主板,20050715,1.09,515633416.0,515633416.0,1811840.0,0.74,10.93,10.93,8082762.9235,5050890.0,原始初筛,cache
00917.HK,20251231,1813995000.0,1506112000.0,711153000.0,540762000.0,1102842000.0,2.5507802118531457,0.443844375142331,1663244000.0,0.44294191557089535,285738000.0,,2,368947000.0,3,1.2912073297916273,0.2939266040918604,,,18063000.0,18063000.0,,0.007269546270631627,77.08491327269746,现金类资产>总负债;经营现金流稳定,趣致集团,趣致集团,主板,20240527,9.38,2484749299.0,2484749299.0,41537701.0,1.11,7.85,7.85,112466096.48499998,64594790.1,原始初筛,cache
06655.HK,20251231,8534683464.0,8534683464.0,43673853595.0,14733013571.0,-35139170131.0,0.19541860315658274,-1.3565002494156586,35348279760.0,0.0507436960835046,2853332040.0,0.018724761355358055,4,6694037666.0,4,2.346042301477118,0.11131751143831126,,2969073176.0,,2969073176.0,,0.11461706377135562,76.9413390780726,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,华新建材,华新建材集团股份有限公司,主板,20220328,12.46,25904285787.0,9154611200.0,14731516.0,0.7,7.16,7.16,36461522.0115,31453780.65,原始初筛,cache
01606.HK,20251231,,,389496643000.0,326998557000.0,,,,28280041000.0,0.04120790842962285,5030278000.0,0.14499265175541476,4,23623961000.0,4,4.696352964985236,0.0,,1125004000.0,,1125004000.0,,0.059324483733811724,76.69719815525181,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,国银金租,国银金融租赁股份有限公司,主板,20160711,1.5,18963570000.0,4154391000.0,4515320.0,0.39,3.41,3.41,4947720.32,4671324.0,原始初筛,cache
03337.HK,20251231,2638174000.0,2609985000.0,7826671000.0,2204921000.0,-5188497000.0,0.33707485596366576,-2.0577603246339793,5571722000.0,0.1659815031820795,373090000.0,0.08288501801077497,4,1369650000.0,4,3.671098126457423,0.03068428529309282,,73490000.0,171049000.0,244539000.0,,0.09698428119466364,76.45212070244347,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,安东油田服务,安东油田服务集团,主板,20071214,0.84,2521429215.0,2521429215.0,3509500.0,0.6,6.1,6.1,8909469.4515,6852270.0,原始初筛,cache
03838.HK,20251231,1858562000.0,1858562000.0,2172074000.0,1329869000.0,-313512000.0,0.8556623761437225,-0.3264786823271562,10058486000.0,-0.055789531243889634,184928000.0,-0.1931063424604652,4,298913000.0,4,1.6163750216300399,0.6577208427063506,,80305000.0,,80305000.0,,0.08362637023234289,76.44239813441018,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高;股东回报率较高,中国淀粉,中国淀粉控股有限公司,主板,20070927,0.161,960283219.0,960283219.0,176045.0,0.2,4.69,4.69,798090.9189,786242.5,原始初筛,cache
00087.HK,20251231,20929413840.0,20929413840.0,144675973160.0,84507069640.0,-123746559320.0,0.14466406123187953,-3.380242402146799,81711603740.0,0.0011164512972137164,2653660360.0,-0.1086597032236275,4,13142754220.0,4,4.9526889040163375,-2.0936010891763104,,5949510140.0,1671860220.0,7621370360.0,,0.20818420645310928,76.43075903770128,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,太古股份公司B,太古股份有限公司B,主板,19730501,12.85,36608782625.0,36608782625.0,12311563.0,0.14,12.46,12.46,12990370.252,12689761.71,原始初筛,cache
00019.HK,20251231,20929413840.0,20929413840.0,144675973160.0,84507069640.0,-123746559320.0,0.14466406123187953,-1.9491477289033268,81711603740.0,0.0011164512972137164,2653660360.0,-0.1086597032236275,4,13142754220.0,4,4.9526889040163375,-2.0936010891763104,,5949510140.0,1671860220.0,7621370360.0,,0.12004516982092954,76.43075903770128,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,太古股份公司A,太古股份有限公司A,主板,19590414,81.5,63487522000.0,63487522000.0,25436712.0,0.24,21.61,21.61,87043359.37799999,70419245.175,原始初筛,cache
01522.HK,20251231,1482433308.72,1482433308.72,1779862751.5,312953988.14,-297429442.78,0.8328919224084341,-0.5252806182783628,1603891108.56,0.030882068658321327,121007996.28,-0.08913131765244997,4,185225131.84,3,1.530685058294893,0.14318449848478065,,49029491.26,,49029491.26,,0.08658941509693127,76.30902937147016,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,京投交通科技,京投轨道交通科技控股有限公司,主板,20131206,0.27,566229616.0,566229616.0,286200.0,0.19,4.23,4.23,440335.275,233680.0,原始初筛,cache
00169.HK,20251231,339561042.9,339561042.9,775403531.36,2014180.6,-435842488.46000004,0.4379152649774953,-0.742278628282445,106224994.54,-0.47392666263962946,1605443743.74,1.102988703951413,3,270717614.5,4,0.16862479022114052,0.0041778553413368575,,1960146366.72,,1960146366.72,,3.338304077380634,76.30488077474888,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;股东回报率较高,万达酒店发展,万达酒店发展有限公司,主板,20020604,0.125,587168311.0,587168311.0,212520.0,0.33,0.33,0.33,292299.24700000003,229934.5,补充宽筛,new
02222.HK,20251231,1239978723.2,874727131.2,825708280.0,130461556.8,414270443.20000005,1.5017152585656524,1.237364597886491,1566705462.4,-0.0697785192390733,83762209.6,,2,179424177.6,3,2.1420659561970297,0.9734832592095326,,,,0.0,,0.0,76.14690910985121,现金类资产>总负债;经营现金流稳定;一次性/其他收益占比较高,雷士国际,雷士国际控股有限公司,主板,20100520,0.66,334800627.0,334800627.0,46200.0,0.09,3.61,3.61,47564.92857142857,40575.5,补充宽筛,new
01073.HK,20251231,512130256.1,343441276.02,167850791.92,2931852.12,344279464.18000007,3.0511041994016233,0.9592923009261277,61902182.7,-0.03326090163243445,35814479.44,0.955098861020313,3,-38832137.46,1,-1.0842580449914254,0.9008877231917685,,9055683.72,,9055683.72,,0.025232546741957913,76.1077881591042,现金类资产>总负债;近年盈利稳定;一次性/其他收益占比较高,大禹金融,大禹金融控股有限公司,主板,20020114,0.105,358889010.0,358889010.0,13050.0,0.54,9.05,9.05,15376.872727272728,4200.0,补充宽筛,new
01044.HK,20251231,15615635000.0,15615635000.0,21208776000.0,15760967000.0,-5593141000.0,0.7362817637378036,-0.21689969496550068,23068869000.0,0.006632505058264293,2535047000.0,0.09605673835766781,4,3241140000.0,4,1.2785325084702572,0.43143618244553256,,1610388000.0,25727000.0,1636115000.0,,0.06344786309311354,75.78919620133554,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,恒安国际,恒安国际集团有限公司,主板,19981208,22.32,25786762867.0,25786762867.0,106353357.0,1.08,9.19,9.19,98152258.567,84648644.07,原始初筛,cache
09658.HK,20251231,3823526624.0,3823526624.0,2489875083.2,1608196468.8000002,1333651540.8000002,1.5356298995875668,0.20569992179031643,5909498744.0,0.14978082410306648,256052155.2,,3,805837862.4,4,3.1471629745532406,0.5307584616651569,,,,0.0,,0.0,75.56343540123937,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,特海国际,特海国际控股有限公司,主板,20221230,9.97,6483481030.0,6483481030.0,2799870.0,2.09,29.12,29.12,10589849.89,4904020.24,补充宽筛,new
06110.HK,20260228,3140500000.0,3140500000.0,5444700000.0,3489100000.0,-2304200000.0,0.5767994563520488,-0.1474491762840267,12298600000.0,-0.023744913334234452,789100000.0,-0.11680157034435146,4,1354700000.0,4,1.7167659358763148,0.04942339373970346,,868100000.0,,868100000.0,,0.055551006827603326,75.49352079732049,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,滔搏,滔搏国际控股有限公司,主板,20191010,2.52,15627079500.0,15627079500.0,27455016.0,1.6,10.92,10.92,50026586.924,36511267.975,原始初筛,cache
02789.HK,20251231,573072000.0,573072000.0,3586437000.0,1270175000.0,-3013365000.0,0.15978867048271028,-2.9959438620689047,2814558000.0,-0.04814444588002453,352529000.0,0.6970513333594246,3,433214000.0,4,1.2288747876061261,0.02348459275690794,,230841000.0,,230841000.0,,0.22950644115925153,75.4253792564549,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,远大中国,远大中国控股有限公司,主板,20110517,0.162,1005814908.0,1005814908.0,128500.0,1.3,2.58,2.58,828780.4210526316,493264.0,原始初筛,cache
01065.HK,20251231,4717706916.89,4717706916.89,14565825269.5,7512828640.6,-9848118352.61,0.32388874846443527,-1.6546218736462177,4760071027.44,0.01723730562268755,862357236.56,0.047048514363295935,4,3302323014.32,4,3.82941416192341,0.10621453049478426,,593252352.39,,593252352.39,,0.0996747077675419,75.39880572395091,非严格净现金;近年盈利稳定;经营现金流稳定;股东回报率较高,天津创业环保股份,天津创业环保集团股份有限公司,主板,19940517,3.79,5951884542.0,1288600000.0,1053260.0,0.5,6.0,6.0,3802977.9,2226630.0,原始初筛,cache
08281.HK,20251231,90812000.0,90812000.0,63902000.0,1854000.0,26910000.0,1.4211135801696348,0.112125,268625000.0,-0.002360150902076863,10216000.0,-0.05620492268867494,4,21682000.0,4,2.1223570869224746,0.5885865309318715,,,,0.0,,0.0,75.18690761809748,现金类资产>总负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,中国金典集团,中国金典集团有限公司,创业板,20160708,0.24,240000000.0,240000000.0,13408.0,0.8,21.22,21.22,31303.466666666667,25968.0,补充宽筛,new
