end_date,revenue,profit_owner,cfo,dividend_paid,buyback,shareholder_return,cash_like,total_liabilities,cash_to_liab,cfo_to_profit,ts_code,name
20240930,334661000.0,103208000.0,468880000.0,,,0.0,760112000.0,1164789000.0,0.652574844027545,4.5430586776218895,01563.HK,友联国际教育租赁
20250930,372676000.0,88636000.0,405560000.0,,,0.0,610553000.0,1084405000.0,0.5630304176022796,4.575567489507649,01563.HK,友联国际教育租赁
20210630,1868823389.28,-190845036.72,710924159.52,,,0.0,1305883825.6799998,8078923496.88,0.1616408208574223,-3.7251383202752018,00825.HK,新世界百货中国
20220630,1654413800.83,-413382597.39,139022251.97,,,0.0,923133135.12,7277791757.74,0.12684247720309383,-0.33630407483951585,00825.HK,新世界百货中国
20230630,1367972151.34,-295819126.96,555929968.52,,,0.0,766638355.74,6837680274.0,0.11211965535374782,-1.8792901400022441,00825.HK,新世界百货中国
20240630,1240748302.08,12151421.52,288776515.4,,,0.0,798827733.4000001,6229397857.88,0.12823514433092553,23.764834009313503,00825.HK,新世界百货中国
20250630,1078694585.8,23058655.75,331262189.7,,,0.0,677751208.55,5840240881.8,0.11604850249620399,14.366066838046272,00825.HK,新世界百货中国
20211231,7982231000.0,556621000.0,1067043000.0,17000.0,,17000.0,829572000.0,6943707000.0,0.11947105487025879,1.9170009755291302,02002.HK,阳光纸业
20221231,9538229000.0,205729000.0,546399000.0,111736000.0,3074000.0,114810000.0,851179000.0,7678494000.0,0.11085233640867598,2.655916278210656,02002.HK,阳光纸业
20231231,8359494000.0,393309000.0,1405595000.0,135000.0,278016000.0,278151000.0,1571918000.0,7193790000.0,0.21851040967278723,3.57376769918817,02002.HK,阳光纸业
20241231,8047605000.0,279872000.0,680543000.0,,,0.0,1135383000.0,6808342000.0,0.16676350864865483,2.4316223130573977,02002.HK,阳光纸业
20251231,7788614000.0,159895000.0,547087000.0,58611000.0,,58611000.0,2116124000.0,8226917000.0,0.2572195635375925,3.4215391350573814,02002.HK,阳光纸业
20211231,104551813000.0,-1326854000.0,721573000.0,3371000.0,,3371000.0,1095766000.0,42495660000.0,0.025785362552317108,-0.5438224552211471,02098.HK,卓尔智联
20221231,110906215000.0,-3040264000.0,858743000.0,4328000.0,,4328000.0,1341318000.0,46210964000.0,0.0290259688155391,-0.2824567208637145,02098.HK,卓尔智联
20231231,125290479000.0,50915000.0,2021735000.0,8840000.0,,8840000.0,1782996000.0,49571989000.0,0.03596781238695103,39.70804281645881,02098.HK,卓尔智联
20241231,162359281000.0,128953000.0,-269470000.0,970000.0,,970000.0,1545952000.0,55141803000.0,0.028035934914931962,-2.089676083534311,02098.HK,卓尔智联
20251231,155029341000.0,147449000.0,86955000.0,7555000.0,,7555000.0,1509853000.0,47320782000.0,0.03190676350192184,0.5897293301412692,02098.HK,卓尔智联
20211231,708766938.63,188572904.13,4976634925.28,23644840.0,,23644840.0,10365579940.54,18400137957.01,0.5633425121462728,26.39103930779559,01461.HK,中泰期货
20221231,654358995.42,166102069.9,5888640262.76,18034200.0,,18034200.0,16467030760.78,26416880006.83,0.6233525971470704,35.451937873532785,01461.HK,中泰期货
