year,date_text,title,url,codes,kind
2019,04 Jul 2019,"Announcement - In relation to the matter of Flyke International Holdings Limited (the “Company”) (the “Company” and, together with its subsidiaries, the “Group”) (Stock code: 1998) Proceeding to third stage of delisting procedures",https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190704news?sc_lang=en,01998,other
2019,26 Jun 2019,"Announcement - In relation to the matter of Centron Telecom International Holding Limited (the “Company”) (the “Company” and, together with its subsidiaries, the “Group”) (Stock code: 1155) Proceeding to third stage of delisting procedures",https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1906262news?sc_lang=en,01155,other
2019,26 Jun 2019,Announcement - In relation to the matter of Heng Xin China Holdings Limited (Incorporated in Bermuda with limited liability) (Stock code: 8046) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190626news?sc_lang=en,08046,cancellation
2019,20 Jun 2019,Announcement - In relation to the matter of Midas Holdings Limited (Incorporated in Singapore with limited liability) (Stock code: 1021) Proceeding to third stage of delisting procedures,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1906202news?sc_lang=en,01021,other
2019,20 Jun 2019,Announcement - In relation to the matter of Ding He Mining Holdings Limited (Incorporated in Hong Kong with limited liability) (Stock Code: 705) Proceeding to third stage of delisting procedures,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190620news?sc_lang=en,00705,other
2019,13 Jun 2019,Announcement - In relation to the matter of Asia Coal Limited (Incorporated in Bermuda with limited liability) (Stock Code: 835) Cancellation of listing,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190613news?sc_lang=en,00835,cancellation
2019,12 Jun 2019,The Listing Committee censures Kiu Hung International Holdings Limited (Stock Code: 381) and a number of its current and former directors for breaching the Listing Rules and/or the Director’s Undertaking,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190612news?sc_lang=en,00381,other
2019,29 May 2019,HKEX Hosts Biotech Week 2019,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190529news?sc_lang=en,,other
2019,24 May 2019,Exchange Publishes Conclusions on Proposed Rule Changes Relating to Disclaimer or Adverse Audit Opinion on Issuer’s Financial Statements,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/190524news?sc_lang=en,,other
2019,17 May 2019,Exchange Seeks Views on Strengthening ESG Rules and Publishes Guidance Materials on ESG and Gender Diversity,https://www.hkex.com.hk/News/Regulatory-Announcements/2019/1905172news?sc_lang=en,,other
