ts_code,ts_latest_close,ts_days,ts_avg_amount_hkd,ts_median_amount_hkd
00912.HK,1.04,15,67214.66666666667,34260.0
00913.HK,0.15,20,46101.0232,32655.0
00914.HK,17.77,20,146687209.4475,128279652.97
00915.HK,0.049,18,17518.222222222223,9615.0
00916.HK,5.31,20,194893141.683,162562223.775
00917.HK,9.86,20,112466096.48499998,64594790.099999994
00918.HK,0.9,20,23682392.676,12302655.0
00919.HK,0.095,16,11338.75,8348.0
00921.HK,24.8,20,41770971.967,30802478.89
00922.HK,0.108,20,181177.37145,151640.0
00923.HK,0.019,18,30035.444444444445,3413.0
00924.HK,0.084,8,7846.0,7244.0
00926.HK,2.44,9,8726.111111111111,6105.0
00927.HK,0.52,5,27056.0,10920.0
00928.HK,0.076,20,188824.8628,103120.0
00929.HK,0.67,19,7085202.383157895,395250.0
00931.HK,0.3,20,1284520.00525,888850.0
00932.HK,0.028,20,52381.6,37490.0
00933.HK,0.415,20,1813191.2,727957.5
00934.HK,3.62,20,8332187.221000001,6606660.0
00936.HK,0.25,16,51478.125,49400.0
00938.HK,0.455,19,86279.4047368421,51930.0
00939.HK,8.62,20,2462914325.62505,2003015533.48
00941.HK,80.1,20,1559809965.2675,1500305150.1750002
00943.HK,0.194,16,21575.5361875,6599.6
00945.HK,316.8,20,4180596.5,3372270.2
00947.HK,0.18,20,199709.03999999998,124985.5
00948.HK,0.25,12,37203.75,33410.0
00950.HK,1.07,20,1066353.5,795947.5
00951.HK,1.45,20,1731479.75,1512245.0
00952.HK,0.095,11,17489.179090909092,10200.0
00953.HK,0.183,20,354824.7,254431.0
00954.HK,0.325,8,34750.0,24810.0
00956.HK,3.29,20,23567458.322,20551383.0
00960.HK,7.02,20,178219012.5625,152301698.59
00966.HK,19.49,20,199242292.53500003,200870897.215
00968.HK,2.35,20,144736328.11400002,141712102.145
00969.HK,0.088,16,29625.5,13765.0
00970.HK,0.375,14,106540.35714285714,96445.0
00974.HK,0.83,13,34396.92307692308,37750.0
00975.HK,6.87,20,27897981.085,23544070.0
00978.HK,0.25,20,99398.794,69058.02
00979.HK,0.35,20,116520.4,65045.0
00980.HK,0.285,16,21675.1875,12545.0
00981.HK,76.5,20,12427228697.678501,9808545760.0
00983.HK,0.325,9,35597.166666666664,40114.0
00984.HK,0.228,17,11962.970588235294,7712.5
00986.HK,0.335,19,37493.16484210526,18610.93
00987.HK,0.188,20,391946.1445,210875.876
00989.HK,0.74,19,185821.55263157896,91822.5
00990.HK,0.7,20,28117366.459000003,18686431.35
00991.HK,2.73,20,284742090.4195,245027607.03
00992.HK,23.78,20,6154652187.2485,5548478028.87
00993.HK,0.093,19,33620.41052631579,22202.0
00994.HK,0.34,20,890470.0,645620.0
00995.HK,16.45,20,29532544.4755,27868932.72
00997.HK,0.018,16,12379.75,3828.0
00998.HK,7.27,20,293377175.81700003,253579658.01
00999.HK,6.61,20,11818383.172,8904920.0
01000.HK,0.52,6,5923.333333333333,1545.0
01001.HK,0.44,19,121287.63157894737,40050.0
01002.HK,0.051,16,70450.0625,38326.0
01003.HK,0.208,20,715188.06175,630773.75
01004.HK,0.185,16,20409.4875,10663.65
01005.HK,0.37,7,16045.714285714286,17000.0
01008.HK,0.175,13,143295.6923076923,59190.0
01009.HK,1.3,16,234390.0,179890.0
01010.HK,0.065,13,13693.384615384615,11320.0
01011.HK,0.46,16,105474.703125,79158.75
01013.HK,0.435,17,56803.544117647056,24700.0
01020.HK,0.204,20,1036439.8,905578.0
01021.HK,19.64,20,23285885.152,17083756.0
01022.HK,0.4,20,314324.625,312315.0
01023.HK,0.475,18,171879.44444444444,148617.5
01024.HK,47.24,20,2554099456.56745,2606135311.16
01025.HK,0.209,20,689163.46,167079.6
01026.HK,0.07,4,10727.5,11805.0
01027.HK,2.89,20,169497.1785,118406.5
01028.HK,1.15,20,12444206.15,7699535.0
01029.HK,0.49,20,119860.25,85344.5
