ts_code,latest_report_date,cash_like,strict_cash_like,total_liabilities,interest_debt,net_cash_after_all_liab,cash_to_liab,net_cash_to_mv,revenue_latest,revenue_cagr_3y,profit_latest,profit_cagr_3y,profit_positive_years,cfo_latest,cfo_positive_years,cfo_to_profit_latest,oneoff_ratio_latest,dps_latest,div_paid_latest,buyback_latest,shareholder_return_hkd,dps_yield_est,dividend_paid_yield_est,score,flags,name,fullname,market,list_date,price_hkd,total_mv_hkd,float_mv_hkd,turnover_hkd,liquidity_ref_hkd,pb,pe_ttm,pe_dynamic,prefilter_pe,static_exclusion_hint,annual_mmdd,annual_period,financial_source,special_label,watch_score
06968.HK,20251231,146195000.0,146195000.0,13437948000.0,4106928000.0,-13291753000.0,0.010879265197335189,-52.875384163691244,2702311000.0,-0.3897760624297235,-1293182000.0,,2,1608497000.0,4,,-0.026367518261157363,,,,0.0,,0.0,14.195826773552033,非严格净现金;经营现金流稳定,港龙中国地产,港龙中国地产集团有限公司,主板,20200715,0.155,251378845.0000001,251378845.0000001,0.0,677122.7,0.1092948717948717,-0.1788461538461538,-0.1788461538461538,-0.1788461538461538,负PE/亏损口径,1231,FY-12-31,cache,反转观察,9.884889159254215
00353.HK,20250331,335396103.69,329671789.2,861000390.0,98856318.08999999,-525604286.31,0.3895423365487674,-0.6998494168905618,139973931.57,-0.30788525386479937,236549013.9,1.837867171673179,4,83808652.11,3,0.3542971950220419,1.9906448718448875,,,,0.0,,0.0,23.64854894780516,现金类资产>有息负债;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,能源国际投资,能源国际投资控股有限公司,主板,20010726,0.355,751024825.6621622,751024825.6621622,0.0,153828.64666666667,0.2782432432432432,2.772837837837838,2.772837837837838,2.772837837837838,低PB高分红旁路,0331,FY-03-31,cache,可复核,9.654009521554066
02693.HK,20251231,218346000.0,205630000.0,455834000.0,266236000.0,-237488000.0,0.4790033213845391,-0.845479262630693,272081000.0,,38829000.0,,1,63698000.0,1,1.6404749027788508,0.08403512838342476,,,,0.0,,0.0,17.209769264460327,非严格净现金,金岩高岭新材,安徽金岩高岭土新材料股份有限公司,主板,20251203,2.89,280891572.9772727,70226999.99999999,0.0,60706.05263157895,0.4187215909090908,6.535340909090908,6.535340909090908,6.535340909090908,低PB高分红旁路,1231,FY-12-31,cache,谨慎观察,9.5277211533831
02098.HK,20251231,1509853000.0,1509853000.0,47320782000.0,14435534000.0,-45810929000.0,0.03190676350192184,-43.465611812934554,155029341000.0,0.11811379483043805,147449000.0,,3,86955000.0,3,0.5897293301412692,7.394997592387877,,7555000.0,,7555000.0,,0.007168217375524529,3.442621596822107,非严格净现金;近年盈利稳定;经营现金流稳定;一次性/其他收益占比较高,卓尔智联,卓尔智联集团有限公司,主板,20110713,0.085,1053957993.2098764,1053957993.2098764,0.0,79853.95,0.0629629629629629,6.453703703703704,6.453703703703704,6.453703703703704,低PB高分红旁路,1231,FY-12-31,cache,可复核,8.981870020084248
06828.HK,20251231,287638000.0,287593000.0,2658827000.0,2301057000.0,-2371189000.0,0.10818229241691919,-3.5962669528155784,1918487000.0,0.11045339034154433,87165000.0,0.7361969916417699,4,-141579000.0,3,-1.6242643262777492,0.31828142029484313,,,,0.0,,0.0,25.127904219966428,非严格净现金;近年盈利稳定;经营现金流稳定,北京燃气蓝天,北京燃气蓝天控股有限公司,主板,20110712,0.029,659347326.3000001,659347326.3000001,0.0,151033.2,0.435,6.834333333333334,6.834333333333334,6.834333333333334,低PB高分红旁路,1231,FY-12-31,cache,现金流待验证,8.85178547987428
00583.HK,20251231,135193066.38,135193066.38,5241622303.64,5157386200.0,-5106429237.26,0.02579221823863889,-16.367737551388544,104241523.42,-0.011848894814185718,-430221750.4,,2,65431966.46,4,,-0.44808532079274443,,,,0.0,,0.0,14.4642599282955,非严格净现金;经营现金流稳定,长城环亚控股,长城环亚控股有限公司,主板,19900629,0.199,311981373.1878173,311981373.1878173,0.0,106243.55555555556,0.0909137055837563,-0.6565989847715736,-0.6565989847715736,-0.6565989847715736,负PE/亏损口径,1231,FY-12-31,cache,反转观察,8.55742551228159
06118.HK,20251231,227394000.0,227394000.0,1303918000.0,343675000.0,-1076524000.0,0.17439286826318834,-3.000283717671375,1530672000.0,-0.10802477917612652,33805000.0,-0.271568305604046,3,132104000.0,2,3.9078242863481734,0.8067149829906819,,,,0.0,,0.0,13.02712572076829,非严格净现金;近年盈利稳定;一次性/其他收益占比较高,奥星生命科技,奥星生命科技有限公司,主板,20141107,0.7,358807400.0,358807400.0,0.0,61998.0,0.3943661971830986,9.583098591549296,9.583098591549296,9.583098591549296,低PB高分红旁路,1231,FY-12-31,cache,可复核,8.15907169850556
01282.HK,20251231,954937473.98,831982135.38,3550889301.74,1531305639.7,-2595951827.7599998,0.26892910277773613,-6.742732020155844,919597185.04,0.08258479462456991,-108250013.78,,1,212144700.72,3,,-1.0044806381363216,,,,0.0,,0.0,8.84072384999925,非严格净现金;经营现金流稳定,中泽丰,中泽丰国际有限公司,主板,20101215,0.077,384999999.99999994,384999999.99999994,18512.0,71969.3,0.0673749999999999,-3.2147499999999996,-3.2147499999999996,-3.2147499999999996,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,6.595656482198544
02138.HK,20260331,872937347.0,686306439.6,2329739508.7,1110865000.55,-1456802161.6999998,0.374693112144156,-3.1117715894630273,3328891026.4,-0.006293709129612579,-355579858.1,,1,535561269.05,4,,-0.0931867957230618,,,,0.0,,0.0,15.744476018594808,非严格净现金;经营现金流稳定,医思健康,医思健康,主板,20160311,0.395,468158449.2361112,468158449.2361112,0.0,95346.25,0.2633333333333333,-2.4468055555555557,-2.4468055555555557,-2.4468055555555557,负PE/亏损口径,0331,FY-03-31,cache,谨慎观察,6.224178576171219
02023.HK,20251231,42676000.0,42676000.0,1330643000.0,705088000.0,-1287967000.0,0.03207171269829699,-3.3575431955871147,1118404000.0,0.2788783592678459,56257000.0,0.3608835793241283,4,-48536000.0,3,-0.8627548571733296,0.451997084807224,,,,0.0,,0.0,21.370997397365223,非严格净现金;近年盈利稳定;经营现金流稳定,中国绿岛科技,中国绿岛科技有限公司,主板,20131011,0.78,383604000.0000001,383604000.0000001,0.0,59046.31578947369,0.5824000000000001,6.1568000000000005,6.1568000000000005,6.1568000000000005,低PB高分红旁路,1231,FY-12-31,cache,现金流待验证,6.1718310240358
02146.HK,20251231,529387382.8,529387382.8,1979778324.83,7198099.01,-1450390942.03,0.26739730209212065,-2.6602915297688923,1912958890.05,-0.017152339931868266,112608615.45,-0.22522433615333826,4,-22898220.09,0,-0.20334341203375483,-0.11866097692971857,,106495.83,,106495.83,,0.00019533351063829788,4.367264767782894,现金类资产>有息负债;近年盈利稳定,荣万家,荣万家生活服务股份有限公司,主板,20210115,1.45,545200000.0,136300000.0,0.0,105147.85714285714,0.2144366197183098,4.370422535211268,4.370422535211268,4.370422535211268,低PB高分红旁路,1231,FY-12-31,cache,现金流待验证,5.7726651298861515
00825.HK,20250630,677751208.55,677751208.55,5840240881.8,3402754475.25,-5162489673.25,0.11604850249620399,-11.133496657113765,1078694585.8,-0.13286885557806316,23058655.75,,2,331262189.7,4,14.366066838046272,13.68681036187463,,,,0.0,,0.0,14.088873044931674,非严格净现金;经营现金流稳定;一次性/其他收益占比较高,新世界百货中国,新世界百货中国有限公司,主板,20070712,0.275,463689875.00000006,463689875.00000006,0.0,56114.37789473684,0.1283333333333333,12.365833333333336,12.365833333333336,12.365833333333336,低PB高分红旁路,0630,FY-06-30,cache,谨慎观察,5.515918160853836
00078.HK,20251231,225624356.0,184618168.0,14369507624.0,13173554022.0,-14143883268.0,0.015701606617554622,-38.38223667276035,2491532370.0,0.1505987755714644,-1084676898.0,,0,1227927590.0,4,,-0.06445166125405946,,,,0.0,,0.0,4.282628919115982,非严格净现金;经营现金流稳定,REGAL INT'L,富豪酒店国际控股有限公司,主板,19801103,0.41,368500756.9670329,368500756.9670329,0.0,125838.896,0.072087912087912,-0.3063736263736263,-0.3063736263736263,-0.3063736263736263,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,4.764240961881544
01098.HK,20251231,2317420457.04,2317420457.04,27204522144.92,13670320505.9,-24887101687.879997,0.08518511902892367,-58.26698431842362,4607681088.68,-0.3280235090040803,-5402617655.76,,0,-444909010.82,3,,-0.25124149294793213,,20322450.0,,20322450.0,,0.0475799830093762,14.807327045333487,非严格净现金;经营现金流稳定;股东回报率较高,路劲,路劲基建有限公司,主板,19960704,0.57,427121842.3090908,427121842.3090908,0.0,78790.55555555556,0.0829090909090908,-0.0725454545454545,-0.0725454545454545,-0.0725454545454545,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,4.148005032359691
00822.HK,20251231,248304210.2,248304210.2,624280373.84,225681258.85999998,-375976163.64000005,0.3977447003061466,-1.1217793731526111,1321918469.64,-0.0054748287019087405,-25206160.54,,1,92111278.82,3,,0.8203318163901531,,,,0.0,,0.0,1.315422808828803,现金类资产>有息负债;经营现金流稳定;一次性/其他收益占比较高,嘉瑞国际,嘉瑞国际控股有限公司,主板,20070627,0.375,335160525.0,335160525.0,0.0,299849.4736842105,0.2848101265822784,-12.009493670886076,-12.009493670886076,-12.009493670886076,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,2.3330369734998433
00970.HK,20260331,113140330.05,110839362.35,665485595.65,537368667.7,-552345265.6,0.17001168889236798,-2.1522380668682604,2080699929.4,-0.15912615728899449,-80975344.5,,0,223260261.9,3,,0.06057136626322102,,,,0.0,,0.0,1.3333540049039705,非严格净现金;经营现金流稳定,新耀莱,新耀莱国际集团有限公司,主板,19970918,0.38,256637624.85333335,256637624.85333335,0.0,95671.0,0.2229333333333333,-1.2666666666666668,-1.2666666666666668,-1.2666666666666668,负PE/亏损口径,0331,FY-03-31,cache,谨慎观察,0.7081991602532458
02503.HK,20251231,64343000.0,58620000.0,1072587000.0,69797000.0,-1008244000.0,0.059988606984794704,-1.5061772018711834,425318000.0,-0.32420381266327636,-36484000.0,,3,-164247000.0,2,,0.01893980923144392,,,,0.0,,0.0,9.852517214948977,非严格净现金;近年盈利稳定,中深建业,中深建业控股有限公司,主板,20240109,0.195,669405962.8225807,669405962.8225807,0.0,124052.84210526316,0.2306451612903225,-16.575,-16.575,-16.575,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-2.118050390259201
02389.HK,20251231,214389202.42000002,126936732.36,309907427.08,103110691.98,-95518224.65999997,0.6917846546628819,-0.20211894731533323,141986184.0,-0.015315853951916703,-91142123.76,,0,-19365940.02,0,,0.14877908590002772,,1781149.84,,1781149.84,,0.0037689575152084318,8.56355885064874,现金类资产>有息负债,北京健康,北京健康(控股)有限公司,主板,20020426,0.078,472584218.00000006,472584218.00000006,0.0,112564.58823529413,0.2799999999999999,-4.68,-4.68,-4.68,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-2.6037090515852235
01727.HK,20251231,4355441000.0,4355441000.0,42036857000.0,3631105000.0,-37681416000.0,0.10361005343477511,-85.91597908791994,15479890000.0,-0.27130210537803057,-579782000.0,,3,-1868791000.0,1,,0.027353384547985277,,,,0.0,,0.0,5.536740347250128,现金类资产>有息负债;近年盈利稳定,河北建设,河北建设集团股份有限公司,主板,20171215,0.249,438584491.5,114884491.5,0.0,56390.91666666666,0.0744871794871794,-0.681025641025641,-0.681025641025641,-0.681025641025641,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-3.1609886462816164
01265.HK,20251231,519058229.61,519058229.61,689967519.12,,-170909289.51,0.7522937170607951,-0.5994867067900086,1592047662.05,-0.03657881823356246,-44264400.3,,0,-75218113.53,1,,0.104329121115417,,,,0.0,,0.0,7.697550145069169,非严格净现金,天津津燃公用,天津津燃公用事业股份有限公司,主板,20111018,0.155,285092709.43661976,77509300.0,0.0,138847.22222222222,0.1964788732394365,-5.817957746478874,-5.817957746478874,-5.817957746478874,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-3.5161131410143387
01813.HK,20251231,634394000.0,634394000.0,140918181000.0,73656395000.0,-140283787000.0,0.00450186055126556,-402.2749141607128,6761856000.0,-0.20490416847883275,-3271406000.0,,0,2220165000.0,4,,1.4312686960896936,,,,0.0,,0.0,-13.094190863153544,非严格净现金;经营现金流稳定;一次性/其他收益占比较高,合景泰富集团,合景泰富集团控股有限公司,主板,20070703,0.102,348726162.288,348726162.288,51.0,151267.78999999998,0.1876799999999999,-0.0979199999999999,-0.0979199999999999,-0.0979199999999999,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-4.689042507645148
00227.HK,20251231,258469951.3,164743715.12,3164313851.4,237485441.04,-2905843900.1,0.08168277972352335,-7.848861251576139,368155181.66,0.06397129945721503,-84897260.68,,1,-265082424.92,1,,-0.47423239781262627,,286320.74,,286320.74,,0.0007733697469541531,-4.2976990408903335,现金类资产>有息负债,第一上海,第一上海投资有限公司,主板,19720824,0.169,370224903.5828572,370224903.5828572,0.0,98088.08888888887,0.1545142857142857,-3.940114285714287,-3.940114285714287,-3.940114285714287,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-7.367359271430905
00367.HK,20260331,142744760.6,0.0,2452658510.0,2041355677.4,-2309913749.4,0.0582000143998848,-5.311809605011414,307263068.2,0.11725511656742116,-314719580.95,,0,-282166346.46,2,,-0.43971091989978706,,,,0.0,,0.0,-4.952399740802074,非严格净现金,庄士机构国际,庄士机构国际有限公司,主板,19870116,0.26,434863807.4716981,434863807.4716981,0.0,83255.29142857144,0.0588679245283018,-0.8241509433962264,-0.8241509433962264,-0.8241509433962264,负PE/亏损口径,0331,FY-03-31,cache,谨慎观察,-9.106319575899551
00713.HK,20251231,373779532.6,373779532.6,1323095365.3,44647067.82,-949315832.6999999,0.28250384847750476,-3.2834340276099234,219393041.22,-0.26896417479956036,-187472343.2,,0,-35210225.26,1,,-0.7378637502408942,,,,0.0,,0.0,-5.914930727404915,现金类资产>有息负债,世界(集团),世界(集团)有限公司,主板,19930415,0.365,289122858.78666663,289122858.78666663,0.0,62089.41176470588,0.3114666666666666,-1.3918666666666668,-1.3918666666666668,-1.3918666666666668,负PE/亏损口径,1231,FY-12-31,cache,谨慎观察,-9.363163606319583
